,nr cam,mp,parter,et1-2,et3+,etaj max,typ_decom,bloc nou,Price/Surface,Price,WebPage
52,2,52,0,1,0,1,1,1,1375,71500,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/titan/apartament-de-vanzare-2-camere-XBLL00001?lista=2349706&listing=1
53,3,95,0,1,0,2,1,1,1821.05,173000,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/lacul-tei/apartament-de-vanzare-3-camere-XBP700001?lista=2349706&listing=1
54,2,58.47,0,0,1,3,1,1,2343.08,137000,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/herastrau/apartament-de-vanzare-2-camere-X5QB1013H?lista=2349706&listing=1
55,3,85,0,1,0,2,1,1,2501.47,212625,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/herastrau/apartament-de-vanzare-3-camere-X2F710099?lista=2349706&listing=1
56,2,58,0,0,1,3,1,1,1387.93,80500,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/liviu-rebreanu/apartament-de-vanzare-2-camere-X4RD00004?lista=2349706&listing=1
57,2,61,0,1,0,2,1,1,1737.7,106000,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/lacul-tei/apartament-de-vanzare-2-camere-XBP700008?lista=2349706&listing=1
58,1,38,0,1,0,2,1,1,1050,39900,https://www.imobiliare.ro/vanzare-garsoniere/bucuresti/militari/garsoniera-de-vanzare-XAD800004?lista=2349706&listing=1
59,2,60,0,1,0,2,1,1,1158.33,69500,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/brancoveanu/apartament-de-vanzare-2-camere-X9F900051?lista=2349706&listing=1
60,4,174,0,0,1,5,1,1,2298.21,399888,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/herastrau/penthouse-de-vanzare-4-camere-X2F710084?lista=2349706&listing=1
61,4,120.16,0,0,1,4,1,1,2556.84,307230,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/herastrau/apartament-de-vanzare-4-camere-X2F71000M?lista=2349706&listing=1
62,2,54,0,0,1,6,1,1,1055.56,57000,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/pacii/apartament-de-vanzare-2-camere-X6SJ0000P?lista=2349706&listing=1
63,3,89,0,0,1,3,0,1,3219.1,286500,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/herastrau/apartament-de-vanzare-3-camere-X9V60006D?lista=2349706&listing=1
64,3,75,1,0,0,0,1,1,1733.33,130000,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/uverturii/apartament-de-vanzare-3-camere-X76K1001G?lista=2349706&listing=1
65,1,43.68,0,1,0,2,1,1,1499.54,65500,http://www.imobiliare.ro/vanzare-garsoniere/bucuresti/militari/garsoniera-de-vanzare-XBVJ0000I?lista=2349706&listing=1
